"stallion","PA26A","127","N","N"," "," "," ","MS",299," ","1"
"stallion","PA26B","128","N","N"," "," "," ","MS",300," ","1"
"stallion","PA27A","131","N","N"," "," "," ","MS",301," ","1"
"stallion","PA27B","132","N","N"," "," "," ","MS",302," ","1"
"stallion","PA28A","135","N","N"," "," "," ","MS",303," ","1"
"stallion","PA28B!","136!","N","N"," "," "," ","MS",304," ","1"
"stallion","PA29A","139(*)","N","N"," "," "," ","MS",305," ","1"
"stallion","PA29B","140","N","N"," "," "," ","MS",306," ","1"
"stud","PA30A","143","N","N"," "," "," ","MS",307," ","1"
"stallion","PA30B","144","N","N"," "," "," ","MS",308," ","1"
"stallion","PA31A","145","N","N"," "," "," ","MS",309," ","1"
"stud","PA31B","146","N","N"," "," "," ","MS",310," ","1"
"stallion","PA32A","147","N","N"," "," "," ","MS",311," ","1"
"stallion","PA32B","148","N","N"," "," "," ","MS",312," ","1"
"stallion","PA33A","151","N","N"," "," "," ","MS",313," ","1"
"stallion","PA33B","152","N","N"," "," "," ","MS",314," ","1"
"studhorse","PA34A","155","N","N"," "," "," ","MS",315," ","1"
"studhorse","PA34B","156","N","N"," "," "," ","MS",316," ","1"
"stallion","PA34C!","155b!","N","N"," "," "," ","MS",317," ","1"
"stallion","PA35A","157","N","N"," "," "," ","MS",318," ","1"
"stallion","PA35B","158(*)","N","N"," "," "," ","MS",319," ","1"
"stallion","PA35C","158X","N","N"," "," "," "," ",320," ","1"
"studhorse","PA36A","159","N","N"," "," "," ","MS",321," ","1"
"stallion","PA36B","160","N","N"," "," "," ","MS",322," ","1"
"stallion","PA37A","161(*)","N","N"," "," "," ","MS",323," ","1"
"stallion","PA37B","162","N","N"," "," "," ","MS",324," ","1"
"stud","PA37C","161X","N","N"," "," "," "," ",325," ","1"
"sire","PA38A","163","N","N"," "," "," ","MS",326," ","1"
"stallion","PA38B","164","N","N"," "," "," ","MS",327," ","1"
"stallion","PA39A","165","N","N"," "," "," ","MS",328," ","1"
"stallion","PA39B","166","N","N"," "," "," ","MS",329," ","1"
"studhorse","PA40A","167","N","N"," "," "," ","MS",330," ","1"
"stallion","PA40B","168","N","N"," "," "," ","MS",331," ","1"
"studhorse","PA41A","171","N","N"," "," "," ","MS",332," ","1"
"stallion","PA41B","172","N","N"," "," "," ","MS",333," ","1"
"staked horse","PA42A","175","O","Y"," ","DDT"," ","MS",334," ","1"
